Pardavejo: VL-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1822505 rastas komplektas: A0030100651, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
Kitos saskaitoje esancios detales:
867203; 103122; 1; vnt.; 
888499; B66956285; 1; vnt.; 
888901; A0059903470; 1; vnt.; 
896016; A0089976152; 1; vnt.; 
896119; A9329900071; 1; vnt.; 
900879; 13-01-01-0727; 1; vnt.; 
901818; 28666; 1; vnt.; 
910418; 21545; 2; vnt.; 
921476; 28666; 1; vnt.; 
928295; 28410; 2; vnt.; 
932588; 15-07-03-0060; 3; vnt.; 
933492; A0019937296; 1; vnt.; 
934521; A9709900051; 2; vnt.; 
935355; 720469; 2; vnt.; Analogas detalei A0025402381
935890; 8972; 0.2; vnt.; 
936380; A0179972945; 1; vnt.; Komplekto detale.
938617; 15-07-03-0060; 1; vnt.; 
938830; 15-07-08-0534; 1; vnt.; 
939764; 8972; 1; vnt.; 
940204; TE10W40MOBILXHP; 5.5; l.; 
943387; 14708; 2; vnt.; 
946255; 15715TTT; 2; vnt.; 
946262; A5410900151; 1; vnt.; 
946877; 15-07-02-0401; 1; vnt.; 
946878; A0004770103; 1; vnt.; 
946913; 076.244-00A; 2; vnt.; Analogas detalei 16350
946980; TE10W40MOBILXHP; 28.5; l.; 
946990; 182853; 10; vnt.; 
947245; 90.13.83; 1; vnt.; 
947580; A9438110107; 1; vnt.; 
947587; REST40597; 1; vnt.; 
947708; 662101473; 1; vnt.; 
947904; MER-MR-015L; 1; vnt.; 
948344; A0028102616; 1; vnt.; 
948350; 336815; 2; vnt.; 
948351; 113820; 6; vnt.; 
948389; 464832; 1; vnt.; 
948429; 943/244; 1; vnt.; 
948433; A0049941345; 4; vnt.; 

Sakatoje AKU-1822539 rastas komplektas: 02-04-02-0151, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
871186; A0019951910; 1; vnt.; 
933369; A5419900501; 4; vnt.; Komplekto detale.
940430; A9060170860; 1; vnt.; 
948481; LA 43 ; 1; vnt.; 
952849; RESTA0095; 1; vnt.; 
952863; A5419970545; 1; vnt.; 
952864; A5419970645; 1; vnt.; 
952891; 582; 2; vnt.; 
952893; 833; 4; vnt.; 
953001; TELIGUOL; 1; kg.; 

Sakatoje AKU-1821489 rastas komplektas: 13-05-01-0540, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
823640; A9438851522; 1; vnt.; 
929681; 13-05-01-0144; 1; vnt.; 
939847; 4.86E+11; 1; vnt.; 
945901; 463533; 1; vnt.; 
945975; 113820; 10; vnt.; 
945977; 336815; 4; vnt.; 
945997; 943/116; 1; vnt.; 

Sakatoje AKU-1823505 rastas komplektas: 47501, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
927823; LX 3556; 1; vnt.; 
941317; KC 505D; 1; vnt.; 
955947; LAK863; 1; vnt.; 
958981; A4731800009; 1; vnt.; 
959039; 31005509; 1; vnt.; 
959064; TE5W30DELVAC1LE; 37; l.; 
959084; A4710902455; 1; vnt.; 

Sakatoje AKU-1821817 rastas komplektas: A0055425818, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
867203; 103122; 1; vnt.; 
888499; B66956285; 1; vnt.; 
888901; A0059903470; 1; vnt.; 
896016; A0089976152; 1; vnt.; 
896119; A9329900071; 1; vnt.; 
900879; 13-01-01-0727; 1; vnt.; 
901818; 28666; 1; vnt.; 
910418; 21545; 2; vnt.; 
921476; 28666; 1; vnt.; 
928295; 28410; 2; vnt.; 
932588; 15-07-03-0060; 3; vnt.; 
933492; A0019937296; 1; vnt.; 
934521; A9709900051; 2; vnt.; 
935355; 720469; 2; vnt.; Analogas detalei A0025402381
935890; 8972; 0.2; vnt.; 
936380; A0179972945; 1; vnt.; Komplekto detale.
938617; 15-07-03-0060; 1; vnt.; 
938830; 15-07-08-0534; 1; vnt.; 
939764; 8972; 1; vnt.; 
940204; TE10W40MOBILXHP; 5.5; l.; 
943387; 14708; 2; vnt.; 
946255; 15715TTT; 2; vnt.; 
946262; A5410900151; 1; vnt.; 
946877; 15-07-02-0401; 1; vnt.; 
946878; A0004770103; 1; vnt.; 
946913; 076.244-00A; 2; vnt.; Analogas detalei 16350
946980; TE10W40MOBILXHP; 28.5; l.; 
946990; 182853; 10; vnt.; 
947245; 90.13.83; 1; vnt.; 
947580; A9438110107; 1; vnt.; 
947587; REST40597; 1; vnt.; 
947708; 662101473; 1; vnt.; 
947904; MER-MR-015L; 1; vnt.; 
948344; A0028102616; 1; vnt.; 
948350; 336815; 2; vnt.; 
948351; 113820; 6; vnt.; 
948389; 464832; 1; vnt.; 
948429; 943/244; 1; vnt.; 
948433; A0049941345; 4; vnt.; 

Sakatoje AKU-1821817 rastas komplektas: A0055425818, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
867203; 103122; 1; vnt.; 
888499; B66956285; 1; vnt.; 
888901; A0059903470; 1; vnt.; 
896016; A0089976152; 1; vnt.; 
