K-1097;A9433301225;+Rato stebulë su guoliu;A9433340115;1
K-1098;9433301225;+Rato stebulë su guoliu SKF;A9433340115;1
K-1099;A9605410705;+Akumuliatoriø dangtis be uþrakto;A9609880142;1
K-1100;A97026818975C38;+Pavarø svirties apsauga, virðutinë;A9702681997;1
K-1101;A0079901401;+Varþtas M14x1,5/50;N000000005461;1
K-1102;23471;+Ávorë gal. stabilizatoriaus ðoninë  FEBI;N000000005578;2
K-1103;A9423260050;+Ávorë gal. stabilizatoriaus ðoninë ACTROS;N000000005578;2
K-1104;08-04-02-0486;+Ávorë gal. stabilizatoriaus ðoninë Actros 88x20,5x130 LEMA;N000000005578;2
K-1105;35877;+Oro pagalvë ATEGO FEBI;N000000005915;1
K-1106;38363;+Oro pagalvë gal. pakabos Atego FEBI;N000000005915;1
K-1107;39902;+Oro pagalvë pakeliamo tilto FEBI;N000000005915;1
K-1108;39854;+Oro pagalvë priekinë FEBI;N000000005915;1
K-1109;38353;Oro pagalvë pakeliamo tilto FEBI;N000000005915;1
K-1110;A0001420106;+Talpa Adblue skysèiui;N000000007087;3
K-1111;A0279972248;+Ðoninës pavaros sand. guma;N007603045100;1
K-1112;08008;+Ðoninës pavaros sand. guma FEBI;N007603045100;1
K-1113;814962;+Ðoninës pavaros sandarinimo guma ELRING;N007603045100;1
K-1114;16665DAF;+Trinkelës stabdþiø FEBI;UAI141;2
