Pardavejo: KN-Serv komplektines saskaitos fakturos 
Sakatoje AKU-1823834 rastas komplektas: A0008300720, kiekis 1 vnt. Saskaitos komplektiskumas: 0.666666666666667.
Kitos saskaitoje esancios detales:
947681; A0059972990; 4; vnt.; 
947688; A9703231585; 2; vnt.; 

Sakatoje AKU-1822898 rastas komplektas: A0055425818, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
928851; 9701500010REST; 1; vnt.; 
944332; 076.244-00A; 1; vnt.; Analogas detalei 16350
953456; A9435451704; 1; vnt.; 
954999; 720469; 1; vnt.; Analogas detalei A0025402381

Sakatoje AKU-1822559 rastas komplektas: A9304905419, kiekis 1 vnt. Saskaitos komplektiskumas: 1.
Kitos saskaitoje esancios detales:
870847; A0001420289; 1; vnt.; 
892154; A9438105616; 1; vnt.; 
923085; 90043; 1; kompl.; 
939876; A0179972945; 1; vnt.; Komplekto detale.
950717; A9305000672; 1; vnt.; 
951313; L5637; 1; vnt.; 
951315; REMELIS; 1; vnt.; 
951316; KNIEDE; 6; vnt.; 
951499; 1S2760200; 1; vnt.; 
951568; J13562663; 1; vnt.; 
951589; KNIEDE; 20; vnt.; 
951607; KNIEDE; 2; vnt.; 
951659; 32839; 2; vnt.; 
951757; KNIEDE; 10; vnt.; 
951818; 936625; 30; vnt.; 
951868; SUN455; 1; vnt.; 
956697; KNIEDE; 4; vnt.; 

Sakatoje AKU-1823217 rastas komplektas: A0079901401, kiekis 8 vnt. Saskaitos komplektiskumas: 0.53125.
Kitos saskaitoje esancios detales:
483624; A6842950174; 1; vnt.; 
907763; 38557; 1; vnt.; Analogas detalei 22751
923549; N000000005461; 5; vnt.; Komplekto detale.
951075; 1470; 1; vnt.; 
951792; 94825; 4; vnt.; 
951817; A0259975047; 1; vnt.; Komplekto detale.
951844; KNIEDE; 1; vnt.; 
952107; 7480; 4; vnt.; 
952269; VARZIED; 2; vnt.; 
953055; N000000005461; 3; vnt.; Komplekto detale.
953085; VARZIED; 2; vnt.; 
953541; TEGL5FUCHS; 7; l.; 

