Pardavejo: SL-Real komplektines saskaitos fakturos 
Sakatoje AKU-1822464 rastas komplektas: 7811235AKIT, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
Sakatoje AKU-1822558 rastas komplektas: A6110170060, kiekis 5 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
7995; 913864; 1; vnt.; 
748530; A6031410880; 1; vnt.; 
794349; 303348; 1; vnt.; 
859445; KC 63/1 D; 1; vnt.; 
864556; OX123/1D ECO; 1; vnt.; 
947945; 93324E; 1; vnt.; 
949737; 291-069; 1; vnt.; 
950223; A6022030108; 1; vnt.; 
951003; 6717051; 1; kompl.; 
951284; REST0026; 1; vnt.; 
951320; A0049902670; 1; vnt.; 
951427; REST925882; 5; val.; 
951798; REST101045; 1; vnt.; 
952991; SW10101700; 1; vnt.; 
952992; 538022810; 1; vnt.; 
952993; EL515434; 1; vnt.; 
953002; 10031700; 1; vnt.; 
953003; 531071810; 1; vnt.; 

Sakatoje AKU-1822876 rastas komplektas: A0001420106, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:

Sakatoje AKU-1822414 rastas komplektas: 9004220A, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:

Sakatoje AKU-1823659 rastas komplektas: 7811235AKIT, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:

Sakatoje AKU-1822876 rastas komplektas: A0001420106, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:

Sakatoje AKU-1822980 rastas komplektas: A0001420106, kiekis 1 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
953345; A0061531928; 1; vnt.; 

Sakatoje AKU-1823158 rastas komplektas: A5410161720, kiekis 3 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:
799110; 001HS19621000; 1; kompl.; 
903168; 001PL19619000; 5; vnt.; 
955948; 001PL19619000; 1; vnt.; 

Sakatoje AKU-1823937 rastas komplektas: 1322585A, kiekis 3 vnt. Saskaitos komplektiskumas: 0.
Kitos saskaitoje esancios detales:

