567931;AKU-1822899;A0002510464;Sankabos cilindro oro vamzdelis (naudotas);1;vnt.;1.00 vnt.;KN-Serv;18.6;
571216;AKU-1823005;A0004291697 ;Filtras oro sausintuvo MP4;1;vnt.;1.00 vnt.;KN-Serv;89.65;
573156;AKU-1822188;A9417200127;Laikiklis ribotuvo k.p. (naudotas)PJM;1;vnt.;1.00 vnt.;VL-Real;13.95;
573606;AKU-1823683;392442T;Laidas tachografo;1;vnt.;1.00 vnt.;SL-Real;27.46;
574712;AKU-1821706;A9428914920;Kabinos kronðteinas k.p (naudotas);1;vnt.;1.00 vnt.;KN-Real;91;
574748;AKU-1821748;A9423341501;Stebulë priek. (naudota)PJM;1;vnt.;1.00 vnt.;VL-Real;130;
575315;AKU-1822737;12416;Tiesi jungtis 0.5 - 1.5 mm² 6.3x0.8 Raud. BERNER;6;vnt.;6.00 vnt.;SL-Serv;1.3;
575509;AKU-1823934;A0005429218;Daviklis puseliø (naudotas);1;vnt.;1.00 vnt.;KN-Serv;42.75;
576356;AKU-1821664;A9018300042;Ventiliacinës grotelës komplektas (naudotos);1;vnt.;1.00 vnt.;VL-Real;5.82;
577037;AKU-1823461;A9435454507;Jungiklis kondicionieriaus (naudotas);1;vnt.;1.00 vnt.;VL-Serv;10;
578229;AKU-1822365;A9416604631;Laipto laikiklis gal.d.p (naudotas);1;vnt.;1.00 vnt.;VL-Serv;25;
579786;DKS-0008002;A9422550017;Reguliuojamas sank cilind pirðtas (naudotas);1;vnt.;1.00 vnt.;SL-Serv;4.96;
580423;AKU-1822365;A9416102836;Laipto laikiklis priek.virð.deðnys(naudotas);1;vnt.;1.00 vnt.;VL-Serv;25;
581099;AKU-1823412;A9433340945;Stebulës flanðas (naudotas)PJM;1;vnt.;1.00 vnt.;VL-Serv;90;
581741;AKU-1822232;A0055457914;Daviklis ;1;vnt.;1.00 vnt.;KN-Serv;102.22;
582229;AKU-1823148;08-02-02-0319;Lingës pagalvë KANCA;1;vnt.;1.00 vnt.;KL-Serv;42.99;
582638;AKU-1822859;N308765024011;Varþtas su verþle M24x2x180(naudotas);1;vnt.;1.00 vnt.;VL-Serv;2.79;
583490;AKU-1822365;A9425500740;Pakëlimo pompos laikiklis (naudotas);1;vnt.;1.00 vnt.;VL-Serv;20;
583709;AKU-1822604;A5411402664;Oro vamzdelis variklio gesinimo sklendës (naudotas);1;vnt.;1.00 vnt.;SL-Serv;15;
585024;AKU-1821989;330035T;Tachografo daviklis L=19.8;1;vnt.;1.00 vnt.;VL-Serv;123.97;
585513;AKU-1823749;A9414301540DEF;Juosta tvirtint resiveriui (naudota);1;vnt.;1.00 vnt.;KN-Serv;9;
586808;AKU-1821718;A0019975271;Sankabos þarnelës tvirtinimo ðtuceris ant cilindro (naudotas);1;vnt.;1.00 vnt.;KN-Real;16.53;
589701;AKU-1824065;A205780027528;Bëgelis d.p;1;vnt.;1.00 vnt.;KL-Real;171.81;
591505;AKU-1823078;001HL19790000;Pagrindiniai indëklai STD MAHLE;5;vnt.;5.00 vnt.;VL-Serv;61.78;
592310;AKU-1823882;CS1269;!Starteris Actros ;1;vnt.;1.00 vnt.;KL-Serv;196.69;
594012;AKU-1821521;A9413310526;Lingës padas su guma atramine(naudotas);1;vnt.;1.00 vnt.;KL-Real;15;
594633;AKU-1823917;A2128850124;Priek.bamperio centr.grotelës;1;vnt.;1.00 vnt.;KN-Real;34.81;
596331;AKU-1823095;A9434600049;Vairo kontaktai (naudotas)PJM;1;vnt.;1.00 vnt.;VL-Real;45;
597153;AKU-1823038;A0005429125;Átampos keitiklis 24v/12v 18A (naudotos);4;vnt.;4.00 vnt.;SL-Real;60;
598908;AKU-1822208;2953;Antgalis vairo traukës k.p. FEBI;1;vnt.;1.00 vnt.;KL-Serv;13.68;
600142;AKU-1823514;641421;Apkaba þarnai 26-38mm ;2;vnt.;2.00 vnt.;VL-Serv;2.7;
601709;AKU-1821731;A9435452007;Automobilio sukëlimo jungiklis (naudotas);1;vnt.;1.00 vnt.;KN-Real;19;
601888;AKU-1822516;A0015408638;ABS laido ilgintuvas 379cm (naudotas);1;vnt.;1.00 vnt.;KN-Serv;10.16;
602535;AKU-1823143;A9438100210;Skydelis nuo saulës k.p. (naudotas);1;vnt.;1.00 vnt.;SL-Real;36;
604371;AKU-1821639;A9438690320;Langø apiplovimo bakelis PJM (naudotas);1;vnt.;1.00 vnt.;KN-Real;23.75;
604844;AKU-1823069;A9738880214;Kronðteinas (naudotas);1;vnt.;1.00 vnt.;KN-Real;15;
605004;AKU-1821706;A9303100322;Balkis priekinis (naudotas);1;vnt.;1.00 vnt.;KN-Real;91;
607018;AKU-1823749;A9703101863;Kabinos laikiklis priek d.p (naudotas);1;vnt.;1.00 vnt.;KN-Serv;25.2;
607488;AKU-1823001;A9738840215;Kapoto laikiklis AT k.p(naudotas);1;vnt.;1.00 vnt.;KN-Real;4.55;
